iter	Passed	Remaining
0	4	1221
1	5	795
2	6	674
3	8	592
4	9	548
5	10	515
6	11	487
7	12	467
8	14	454
9	15	443
10	16	431
11	17	422
12	18	412
13	19	404
14	20	398
15	22	395
16	23	393
17	24	389
18	25	384
19	27	379
20	28	377
21	29	376
22	31	376
23	32	377
24	34	375
25	35	373
26	36	372
27	38	371
28	39	369
29	41	371
30	42	370
31	43	367
32	45	366
33	46	365
34	48	364
35	49	363
36	51	364
37	52	361
38	53	359
39	55	359
40	56	359
41	58	359
42	59	358
43	61	356
44	62	354
45	63	353
46	65	352
47	66	351
48	68	349
49	69	347
50	70	346
51	72	347
52	74	345
53	75	343
54	76	341
55	78	340
56	79	338
57	80	337
58	82	335
59	83	334
60	85	333
61	86	331
62	88	331
63	89	329
64	91	329
65	93	329
66	102	356
67	103	354
68	105	353
69	107	352
70	108	350
71	109	348
72	111	346
73	112	344
74	114	342
75	115	341
76	117	339
77	118	336
78	120	335
79	121	334
80	123	332
81	124	330
82	125	328
83	127	326
84	128	324
85	129	322
86	131	321
87	132	319
88	133	317
89	135	316
90	137	315
91	138	313
92	140	311
93	141	310
94	143	308
95	144	307
96	146	305
97	147	304
98	149	303
99	151	302
100	153	302
101	155	301
102	157	300
103	159	299
104	160	298
105	162	297
106	164	296
107	165	294
108	167	293
109	169	292
110	170	290
111	172	289
112	174	288
113	175	286
114	177	286
115	179	285
116	181	284
117	183	283
118	185	282
119	187	281
120	189	280
121	191	278
122	193	278
123	195	277
124	197	276
125	199	275
126	201	274
127	203	273
128	205	272
129	207	271
130	210	271
131	212	270
132	214	268
133	215	267
134	217	266
135	219	264
136	221	263
137	223	261
138	225	260
139	227	259
140	229	258
141	231	257
142	362	397
143	370	401
144	378	404
145	390	412
146	398	414
147	403	414
148	405	411
149	408	408
150	411	405
151	414	403
152	418	402
153	421	400
154	425	397
155	428	395
156	430	392
157	435	390
158	444	393
159	455	398
160	467	403
161	473	403
162	476	400
163	481	399
164	484	396
165	487	393
166	492	392
167	494	388
168	498	386
169	500	382
170	502	379
171	505	376
172	508	373
173	510	369
174	514	367
175	516	363
176	517	359
177	520	356
178	522	353
179	524	349
180	526	346
181	529	343
182	531	339
183	533	336
184	535	332
185	538	329
186	540	326
187	542	322
188	545	320
189	547	317
190	549	313
191	553	311
192	555	307
193	557	304
194	560	302
195	564	299
196	566	296
197	573	295
198	578	293
199	580	290
200	582	286
201	586	284
202	590	282
203	594	279
204	596	276
205	598	273
206	601	270
207	603	266
208	606	264
209	610	261
210	612	258
211	615	255
212	618	252
213	621	249
214	627	248
215	630	245
216	634	242
217	639	240
218	647	239
219	649	236
220	653	233
221	661	232
222	664	229
223	668	226
224	671	223
225	675	221
226	679	218
227	683	215
228	685	212
229	691	210
230	693	207
231	697	204
232	700	201
233	706	199
234	708	196
235	712	193
236	716	190
237	719	187
238	722	184
239	724	181
240	727	178
241	730	175
242	732	171
243	734	168
244	739	165
245	741	162
246	744	159
247	747	156
248	748	153
249	751	150
250	753	147
251	755	143
252	757	140
253	760	137
254	763	134
255	768	132
256	770	128
257	773	125
258	778	123
259	781	120
260	784	117
261	786	114
262	789	111
263	792	108
264	794	104
265	796	101
266	799	98
267	802	95
268	803	92
269	805	89
270	808	86
271	810	83
272	812	80
273	814	77
274	818	74
275	820	71
276	821	68
277	824	65
278	826	62
279	828	59
280	830	56
281	833	53
282	835	50
283	837	47
284	840	44
285	842	41
286	844	38
287	846	35
288	849	32
289	852	29
290	853	26
291	857	23
292	859	20
293	861	17
294	863	14
295	866	11
296	868	8
297	869	5
298	872	2
299	874	0
